Name,Ticker,IM Code,Industry,Sub-Industry,naming,Price (local currency),Currency,Total return from 2018_1_1 (in %) to 2025_September 4,Company Info,Directors,GICS_Industry,GICS Sub industry,Business Description,Market Cap (Local Currency),Market Cap (USD),Last trade date,Sales,"Total Revenue (Local currency, $)","LTM revenue (Local currency, $)","NTM revenue (Local currency, $)","Asset Turnover (x, LTM) ",Profits,"Net profits (Actual, nearest fiscal year FY0, local currency, $)","EPS Trailing (Col A / Col AY), Local",EPS Actual (FY0),EPS Forecast (FY1),EPS Growth (%),PEG (X),"Operating Margin (%, Trailing)",Operating Profits per share,"ROA (%, Trailing)","ROE (%, Trailing)",Operating Leverage,Contributing Margin,"Operating Margin (%, Trailing)",Operating Leverage (x) (chg of EBIT / chg. Of total revenue),Financials,"Altman Z Score Manufacturing (x, FY0)","Altman Z Score Non-Manufacturing (x, FY0)","RoA (%, Trailinig)","RoE (%, Trailing)","Total Assets (Local, $ FY0)","Net assets (Local $, FY0)",Net tangible assets,"Total Debt (Local $, FY0)","Interest expense per year ($, FY0)","Effective average interest rate (%, FY0)","Interest Coverage Ratio (x, FY0)","Debt to Total assets (%, FY0)",Debt to Equity %  (Trailing),"EBITDA  (Local $, FY0)","EBITDA  (Local $, FY-1)",Chg. Of EBITDA,"Cash flow from operations (Local $, FY0)","Cash flow from operations (Local $, FY-1)",Chg. Of CF from Operations,"Interest coverage ratio (x, FY0)","Current Ratio (x, Trailing)","Quick Ratio (x, Trailing)","Ratio of ""Operating CF / Total Debt""  (x)",Valuation,"PE ratio (x, Trailing)","PEG ratio (x, FY1)","PE Ratio (x, consensus forecast)","Dividend yield (%, FY0)",Dividend payout ratio  (%),Dividend (local currency),"Dividened per Share of common stock primary, 3 yr CAGR","Dividened per Share of common stock primary, 5 yr CAGR","Dividened per Share of common stock primary, 10 yr CAGR",Standard Deviation of Dividend per share in the last 3 years,Standard Deviation of Dividend per share in the last 5 years,Standard Deviation of Dividend per share in the last 10 years,"Net assets per share ($, FY0)",,Altman Z score__Manufatcuring weight,WorkingCapital to Total Assets (x),[WorkCap / Tassets] * 1.2,Retained Earnings Accumulated to Total Assets (x),[RetEarnings / Tassets] *1.4,EBIT / Total Assets (x),[EBIT / Tassets]  *3.3,Mkt Value of Equity / BV of Total Liabilities (x),[MktV Equity / BV Tliab]  *0.6,Sales to Total Assets (x ),[Sales / Tassets]  *1,Sum check,,52w_Hi (Local),52w_Lo (Local)
Weichai Power Co Ltd,000338.SZ,F1,Basic materials and industrials,Diversified machinery / power equipment ,IS - F1 Diversified machinery / power equipment  - Weichai Power Co Ltd - 000338.SZ,14.7,Chinese Renminbi,126.257,,Mr. Changhai Ma,Machinery,Construction Machinery & Heavy Transportation Equipment,"Weichai Power Co Ltd is a China-based company primarily engaged in the research and development, production and sales of powertrain, complete vehicle and key components. The Company's main businesses include powertrain business, commercial vehicle business, agricultural equipment business and smart logistics business. The Company's main products include a full range of engines, gearboxes, axles, hydraulic products, heavy-duty vehicles, forklifts, supply chain solutions, fuel cell systems and components, agricultural equipment, automotive electronics and components and others. The Company mainly operates its businesses in the domestic and overseas markets.","126,291,578,335.45","17,697,077,907.62",4/9/2025,,"215,690,504,590.00","216,352,585,450.00","242,476,888,985.00",NULL,,"11,403,289,000.00",1.28,1.31,1.420,8.37%,0.735,NULL,,NULL,NULL,,,NULL,35.235,,1.450,2.011,NULL,NULL,"343,879,412,550","121,958,656,000",,"91,879,031,590","3,854,441,560",4.297,4.456,26.72%,NULL,"30,384,773,000","25,454,675,000",19.37%,"26,094,123,940","27,470,853,330",-5.01%,4.456,NULL,NULL,0.284,,11.484,0.735,9.339,4.89%,NULL,0.72,24.789%,20.247%,23.445%,0.260 ,0.225 ,0.200 ,NULL,,1.450,0.087,0.104,0.188,0.263,0.051,0.167,0.465,0.279,0.636,0.636,1.450,,17.71,11.64
Chaozhou Three-circle Group Co Ltd,300408.SZ,F1,Basic materials and industrials,Electronics / ceramics ,IS - F1 Electronics / ceramics  - Chaozhou Three-circle Group Co Ltd - 300408.SZ,38.48,Chinese Renminbi,106.233,,Mr. Gang Li,"Electronic Equipment, Instruments & Components",Electronic Components,"Chaozhou Three-circle Group Co Ltd is a China-based company principally engaged in the research, development, production and sales of electronic components and basic materials. The Company's products mainly include communication components, electronic components and materials, new materials, multi-layer ceramic capacitors (MLCC), ceramic fuel cell components and compressor components and other products. The Company's products are mainly used in fields such as electronics and electrical, communications, semiconductors, mobile smart terminals, consumer electronics, industrial electronic equipment and new energy. The Company distributes its products within the domestic market and to overseas markets.","73,745,786,184.41","10,428,639,739.70",4/9/2025,,"7,374,990,820.00","8,096,380,150.00","10,571,015,500.00",0.343,,"2,190,449,000.00",1.26,1.14,1.425,25.00%,NULL,34.091,,10.168,12.146,,,34.091,1.808,,12.828,24.431,10.168,12.146,"23,915,803,050","20,932,340,270",,"1,224,196,360",NULL,2.310,82.420,5.12%,2.853726539,"3,009,323,000","2,225,568,000",35.22%,"2,403,122,350","1,718,968,000",39.80%,82.420,5.567,4.661,1.963,,30.592,NULL,23.599,0.99%,NULL,0.38,5.896%,13.697%,11.760%,0.056 ,0.063 ,0.063 ,NULL,,12.828,0.460,0.552,0.492,0.689,0.100,0.329,18.225,10.935,0.322,0.322,12.828,,45.68,28.87
Goneo Group Co Ltd,603195.SS,F1,Basic materials and industrials,Electronics manufacturing ,IS - F1 Electronics manufacturing  - Goneo Group Co Ltd - 603195.SS,46.21,Chinese Renminbi,84.624,,Mr. Liping Ruan,Electrical Equipment,Electrical Components & Equipment,"Goneo Group Co Ltd is a China-based company principally involved in the research and development, manufacture and sales of civilian electrical products. The Company's main products include power connection and power extension products including converters, wall switch sockets, Light Emitting Diode (LED) lighting and digital accessories which are used in home and office. The Company also provides products such as circuit breakers, bottom boxes, wireless doorbells, electrical tapes and reels. The Company distributes its products in domestic market and to overseas markets.","83,573,666,792.41","11,700,332,033.72",4/9/2025,,"16,830,541,090.00","16,612,275,180.00","18,282,494,942.50",0.819,,"4,272,205,000.00",2.26,2.36429,2.404,1.69%,NULL,29.830,,20.167,26.559,,,29.830,0.040,,14.817,27.729,20.167,26.559,"20,494,034,490","15,938,532,130",,"314,608,740","16,786,310",2.685,252.970,1.54%,4.49046725,"5,272,221,000","4,901,676,000",7.56%,"3,730,346,900","4,827,282,100",-22.72%,252.970,3.577,3.275,11.857,,20.434,NULL,17.110,3.71%,NULL,1.71,28.986%,6.270%,NULL,0.414 ,0.407 ,0.407 ,NULL,,14.817,0.583,0.700,0.559,0.782,0.222,0.732,19.612,11.767,0.836,0.836,14.817,,65.39,43.58
China National Chemical Engineering Co Ltd,601117.SS,F1,Basic materials and basic industrials,"General contractors / Heavy construction (chemical, petrochemical, construction engineering) ","IS - F1 General contractors / Heavy construction (chemical, petrochemical, construction engineering)  - China National Chemical Engineering Co Ltd - 601117.SS",7.54,Chinese Renminbi,33.889,,Mr. Dingge Mo,Construction & Engineering,Construction & Engineering,"China National Chemical Engineering Co Ltd is a China-based company principally engaged in engineering construction and design. The Company operates its businesses through engineering construction, as well as survey, design and related services. The Company's businesses are primarily applied in industries such as chemical, petrochemical, coal chemical, electrical power, construction and environmental protection, and others. It operates its businesses in domestic and overseas markets.","46,045,210,545.00","6,456,286,454.07",4/9/2025,,"186,612,954,520.00","186,298,178,200.00","208,286,980,250.00",0.810,,"5,687,934,000.00",0.98,0.93,1.024,10.11%,NULL,4.022,,2.824,9.520,,,4.022,2.654,,1.462,1.664,2.824,9.520,"233,421,377,310","68,897,813,000",,"15,424,992,680",NULL,1.297,21.234,6.61%,20.84497576,"9,358,639,000","8,316,342,000",12.53%,"8,722,135,370","9,134,016,000",-4.51%,21.234,1.151,1.107,0.565,,7.731,NULL,6.952,2.47%,29.38%,0.19,8.406%,(0.107%),5.884%,0.018 ,0.025 ,0.046 ,NULL,,1.462,0.084,0.101,0.178,0.250,0.033,0.109,0.296,0.178,0.825,0.825,1.462,,9.08,6.16
China Railway Construction Corp Ltd,601186.SS,F1,Basic materials and basic industrials,"General contractors / Heavy construction (railways, highways, infrastructure) ","IS - F1 General contractors / Heavy construction (railways, highways, infrastructure)  - China Railway Construction Corp Ltd - 601186.SS",7.94,Chinese Renminbi,-10.152,,Mr. Hegen Dai,Construction & Engineering,Construction & Engineering,"China Railway Construction Corp Ltd is a China-based company engaged in the engineering contracting businesses. The Company operates five segments. The Construction Operations segment engages in the construction of infrastructure such as railways, highways, metropolitan railways and real estate projects. The Plan, Design and Consultancy Operations segment provides plan, design and consultancy services for civil engineering and infrastructure construction, such as railways, highways and urban rail transport. The Manufacturing Operations segment engages in research, development, production and sale of mechanical equipment, including railway track maintenance machinery, tunnel boring machinery and the manufactures of track system. The Real Estate Development Operations segment engages in the development, construction, sale of residential properties and commercial properties. The Other Business Operations segment comprises trade and logistics, finance and insurance and highway operation.","101,617,748,706.95","14,229,566,702.71",4/9/2025,,"1,067,171,337,000.00","1,040,233,664,000.00","1,110,043,850,000.00",0.559,,"22,215,074,000.00",1.37,1.46,1.626,11.40%,NULL,2.865,,1.323,5.657,,,2.865,1.598,,0.903,0.706,1.323,5.657,"1,862,842,522,000","423,704,424,000",,"515,447,769,000",NULL,2.013,4.200,27.67%,165.5334913,"64,270,733,000","65,009,247,000",-1.14%,"-31,423,832,000","20,412,048,000",-253.95%,4.200,1.036,0.773,-0.061,,5.795,NULL,4.768,3.78%,21.89%,0.30,6.839%,7.394%,7.177%,0.043 ,0.051 ,0.065 ,NULL,,0.903,0.017,0.020,0.109,0.153,0.023,0.076,0.081,0.049,0.605,0.605,0.903,,10.31,6.72
Sichuan Road & Bridge Group Co Ltd,600039.SS,F1,Basic materials and basic industrials,General contractors / Heavy construction ,IS - F1 General contractors / Heavy construction  - Sichuan Road & Bridge Group Co Ltd - 600039.SS,8.76,Chinese Renminbi,312.067,,Mr. Licheng Sun,Construction & Engineering,Construction & Engineering,"Sichuan Road & Bridge Group Co Ltd is a China-based company primarily engaged in engineering construction business. The Company conducts businesses through six segments. The Engineering Construction segment is engaged in the construction of roads, railways, housing construction, municipal and water conservancy projects. The Mining and New Materials segment is engaged in the construction and mining of mines, as well as new materials business. The Clean Energy segment is engaged in photovoltaic business and hydropower business. The Trading Sales segment is engaged in trading business. The Highway Investment and Operation segment is engaged in the operation of highways. The Other segment is engaged in other construction-related businesses.","76,172,307,420.30","10,666,448,322.49",4/9/2025,,"107,238,179,270.00","104,989,765,560.00","115,472,833,335.00",0.433,,"7,209,867,000.00",0.78,0.83,0.907,9.32%,NULL,8.147,,2.846,14.435,,,8.147,2.647,,1.124,1.829,2.846,14.435,"239,773,354,770",NULL,,"70,659,244,950","2,973,341,680",3.916,3.753,29.47%,159.3645195,"14,381,697,000",NULL,#VALUE!,"3,427,377,180",NULL,#VALUE!,3.753,1.246,1.187,0.049,,11.279,NULL,9.205,4.73%,NULL,0.41,7.236%,52.618%,27.764%,0.167 ,0.302 ,0.265 ,NULL,,1.124,0.109,0.131,0.139,0.195,0.046,0.153,0.330,0.198,0.446,0.446,1.124,,10.16,5.19
China State Construction Engineering Corp Ltd,601668.SS,F1,Basic materials and industrials,"General contractors / heavy construction (buildings, infrastructure) ","IS - F1 General contractors / heavy construction (buildings, infrastructure)  - China State Construction Engineering Corp Ltd - 601668.SS",5.52,Chinese Renminbi,18.495,,Mr. Xuexuan Zheng,Construction & Engineering,Construction & Engineering,"China State Construction Engineering Corp Ltd is a China-based company mainly engaged in engineering contracting business. The Company operates its business through five segments: Home Construction Engineering Segment, Infrastructure Construction and Investment Segment, Real Estate Development and Investment Segment, Design Survey Segment and Others Segment. The company's services include product technology research and development, survey and design, real estate development, engineering contracting, equipment manufacturing, asset operation, property management.","228,088,555,250.88","31,938,913,273.43",4/9/2025,,"2,187,147,839,000.00","2,150,836,239,000.00","2,318,767,055,585.00",0.661,,"46,187,099,000.00",1.13,1.11,1.177,6.01%,0.920,3.732,,1.923,10.017,,,3.732,2.875,,1.249,1.785,1.923,10.017,"3,189,262,063,000","771,859,430,000",,"911,579,153,000","21,791,488,000",2.497,4.389,28.58%,195.390067,"115,045,197,000","121,963,493,000",-5.67%,"15,773,535,000","11,030,123,000",43.00%,4.389,1.295,0.859,0.017,,4.873,0.920,4.388,4.92%,24.02%,0.27,2.788%,7.974%,8.252%,0.012 ,0.034 ,0.055 ,NULL,,1.249,0.162,0.195,0.127,0.178,0.031,0.104,0.092,0.055,0.718,0.718,1.249,,6.79,4.72
China Energy Engineering Corp Ltd,601868.SS,F1,Basic materials and industrials,"General contractors / heavy construction (energy, infrastructure) ","IS - F1 General contractors / heavy construction (energy, infrastructure)  - China Energy Engineering Corp Ltd - 601868.SS",2.39,Chinese Renminbi,-8.799,,Mr. Zhen Ni,Construction & Engineering,Construction & Engineering,"China Energy Engineering Corp Ltd is a China-based company mainly engaged in power engineering construction business. The Company operates five segments. Construction and Contracting segment is mainly engaged in the construction services of power engineering and provides some non-power engineering construction. Industrial Manufacturing segment is mainly engaged in manufacturing and selling equipment used in various fields of the power industry. Investment and Other Business segment is engaged in real estate development, highway operation, financial services and other businesses. Survey, Design and Consulting Services segment is mainly engaged in providing survey and design services for power generation projects and power grid projects. Clean Energy, Environmental Protection and Water Utilities segment is mainly engaged in power generation, environmental protection and water plant construction and operation.","87,339,775,465.93","12,242,089,167.32",4/9/2025,,"436,712,757,000.00","454,542,236,000.00",NULL,0.517,,"8,396,167,000.00",0.19,0.19,NULL,#VALUE!,NULL,3.222,,1.377,6.997,,,3.222,0.399,,0.769,0.538,1.377,6.997,"869,004,776,000",NULL,,"305,703,977,000",NULL,2.407,2.719,35.18%,256.0863585,"28,616,061,000","26,117,272,000",9.57%,"11,027,252,000","9,486,032,000",16.25%,2.719,1.039,0.861,0.036,,12.572,NULL,10.402,1.62%,14.10%,0.04,NULL,NULL,NULL,0.007 ,0.007 ,0.007 ,NULL,,0.769,0.012,0.014,0.055,0.077,0.022,0.073,0.127,0.076,0.529,0.529,0.769,,3.09,2.01
Metallurgical Corporation of China Ltd,601618.SS,F1,Basic materials and industrials,"General contractors / heavy construction (metallurgy, infrastructure) ","IS - F1 General contractors / heavy construction (metallurgy, infrastructure)  - Metallurgical Corporation of China Ltd - 601618.SS",3.38,Chinese Renminbi,-16.569,,Mr. Jianguang Chen,Construction & Engineering,Construction & Engineering,"Metallurgical Corporation of China Ltd is a China-based company principally engaged in the engineering construction related businesses. The Company operates five segments. Engineering Contracting segment is engaged in providing engineering, construction and other related services for metallurgical and non-metallurgical projects. Resources Development segment is engaged in development, mining and processing of mineral resources and production of non-ferrous metal and polysilicon. Featured Business segment is engaged in manufacturing of specialized metallurgical equipment, steel structures, and other metal products, and construction and operation of eco-friendly related engineering projects, along with engineering supervision, consulting, and technical services. Comprehensive Real Estate segment is engaged in development and sales of residential and commercial real estate, construction of affordable housing, and the primary land development. The Company also operates the Other segment.","66,333,565,974.47","9,313,711,192.85",4/9/2025,,"552,024,638,000.00","490,715,823,000.00","584,403,307,500.00",0.621,,"6,745,954,000.00",0.21,0.24,0.348,45.00%,NULL,1.842,,0.921,2.884,,,1.842,2.477,,0.999,0.649,0.921,2.884,"808,015,755,000","183,309,893,000",,"157,294,446,000",NULL,2.417,3.072,19.47%,86.18043345,"14,650,739,000","14,704,958,000",-0.37%,"7,847,704,000","5,891,801,000",33.20%,3.072,1.054,0.921,0.050,,16.138,NULL,9.411,1.66%,26.74%,0.06,(10.457%),(4.902%),1.140%,0.012 ,0.009 ,0.011 ,NULL,,0.999,0.032,0.039,0.071,0.100,0.014,0.047,0.104,0.063,0.751,0.751,0.999,,3.72,2.54
Power Construction Corporation of China Ltd,601669.SS,F1,Basic materials and industrials,"General contractors / heavy construction (power, infrastructure) ","IS - F1 General contractors / heavy construction (power, infrastructure)  - Power Construction Corporation of China Ltd - 601669.SS",5.69,Chinese Renminbi,-8.114,,Mr. Yanzhang Ding,Construction & Engineering,Construction & Engineering,"Power Construction Corporation of China Ltd is a China-based company mainly engaged in engineering contracting and survey and design business. The Company mainly operates three segments. The Engineering Contracting and Survey and Design segment is mainly engaged in the design, procurement and construction of photovoltaic power generation projects, pumped storage power stations and comprehensive water environment management projects, as well as the construction of infrastructure. The Power Investment and Operation Business segment is mainly engaged in the power investment and operation business of clean energy such as wind power, solar photovoltaic power generation, and hydropower. The Other segment is mainly engaged in the mining, production and sales of sand and gravel aggregates, the design, research and development, production and sales of special equipment for water conservancy and hydropower, engineering equipment leasing business and other related businesses.","98,015,474,113.83","13,749,280,001.65",4/9/2025,,"634,552,119,470.00","642,224,528,580.00","714,096,972,250.00",0.493,,"12,015,017,000.00",0.58,0.635,0.722,13.62%,NULL,2.860,,1.120,6.013,,,2.860,-1.023,,0.667,0.086,1.120,6.013,"1,289,001,336,540","275,003,704,690",,"497,281,685,500",NULL,3.206,1.877,38.58%,308.6418978,"49,828,641,000","49,873,556,000",-0.09%,"24,545,698,460","22,264,664,490",10.25%,1.877,0.901,0.868,0.049,,9.779,NULL,6.880,2.23%,21.82%,0.13,8.435%,26.135%,2.415%,0.015 ,0.018 ,0.020 ,NULL,,0.667,-0.055,-0.066,0.063,0.089,0.023,0.075,0.084,0.050,0.520,0.520,0.667,,7.84,4.33
China Railway Group Ltd,601390.SS,F1,Basic materials and industrials,"General contractors / heavy construction (railway, infrastructure) ","IS - F1 General contractors / heavy construction (railway, infrastructure)  - China Railway Group Ltd - 601390.SS",5.53,Chinese Renminbi,-18.704,,Mr. Wenjian Chen,Construction & Engineering,Construction & Engineering,"China Railway Group Ltd is a China-based company mainly engaged in infrastructure construction business. The Company's engineering construction business involves engineering fields such as railways, highways, municipal administration, housing construction, and urban rail transit. The Company's main business also includes design consulting business, equipment manufacturing business, special real estate business, asset management business, resource utilization business, and financial and material trade business.","128,033,455,771.10","17,967,881,194.76",4/9/2025,,"1,160,311,430,000.00","1,128,290,935,000.00","1,173,784,808,082.50",0.512,,"27,886,745,000.00",0.96,1.084,1.095,1.00%,NULL,3.111,,1.280,6.713,,,3.111,1.353,,0.822,0.522,1.280,6.713,"2,256,413,630,000","511,194,385,000",,"575,339,397,000",NULL,2.384,3.485,25.50%,150.875592,"60,199,060,000","64,201,410,000",-6.23%,"28,051,091,000","38,363,495,000",-26.88%,3.485,0.972,0.771,0.049,,5.738,NULL,4.698,3.22%,18.45%,0.18,(3.160%),1.043%,8.601%,0.013 ,0.016 ,0.050 ,NULL,,0.822,-0.005,-0.006,0.099,0.139,0.022,0.072,0.083,0.050,0.568,0.568,0.822,,7.23,4.95
